web_scraper_order,web_scraper_start_url,categories,categories_href,category_name,category_description,category_emoji_list,category_emoji_list_href,emoji,emoji_name,emoji_description
"1573457666-9598","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣
Symbols","Heart emojis, clocks, arrows, signs and shapes.","🕉 Om","https://emojipedia.org/om-symbol/","🕉️","️ Om","A symbol often used in relation to the religions of Hinduism, Buddhism, Sikhism and Jainism.

Om was approved as part of Unicode 7.0 in 2014
under the name “Om Symbol”
and added to Emoji 1.0 in 2015."
"1573459915-10683","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🖖 Vulcan Salute","https://emojipedia.org/raised-hand-with-part-between-middle-and-ring-fingers/","🖖","Vulcan Salute","A raised hand, with the fingers separated between the ring finger and the middle finger.

Vulcan Salute was approved as part of Unicode 7.0 in 2014
under the name “Raised Hand With Part Between Middle and Ring Fingers”
and added to Emoji 1.0 in 2015."
"1573456672-9277","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇳🇿 Flag: New Zealand","https://emojipedia.org/flag-for-new-zealand/","🇳🇿","🇿 Flag: New Zealand","The flag for New Zealand, which may show as the letters NZ on some platforms.
The Flag: New Zealand emoji is a sequence of the 🇳 Regional Indicator Symbol Letter N and 🇿 Regional Indicator Symbol Letter Z emojis.
These display as a single emoji on supported platforms.

Flag: New Zealand was added to Emoji 1.0 in 2015."
"1573458040-9777","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡
Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","📈 Chart Increasing","https://emojipedia.org/chart-with-upwards-trend/","📈","Chart Increasing","A graph showing a red or green trend line increasing over time, as stock prices or revenues. Commonly used to represent various types of increase, from numerical data to being metaphorically on the rise. May also represent trending content as well as facts, figures, and charts more generally.

Chart Increasing was approved as part of Unicode 6.0 in 2010
under the name “Chart With Upwards Trend”
and added to Emoji 1.0 in 2015."
"1573458912-10198","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔
Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🥩 Cut of Meat","https://emojipedia.org/cut-of-meat/","🥩","Cut of Meat","A cut of uncooked red meat, as a T-bone or rib-eye steak, with the light, white marbling of fat.
May be used for sexual slang.

Cut of Meat was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017."
"1573457314-9546","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣
Symbols","Heart emojis, clocks, arrows, signs and shapes.","➰ Curly Loop","https://emojipedia.org/curly-loop/","➰","Curly Loop","A curled loop, which is shown in black on most platforms. Displayed as a blue ribbon on Samsung devices.
Similar to the Double Curly Loop but with only a single loop.

Curly Loop was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573460075-10759","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😬 Grimacing Face","https://emojipedia.org/grimacing-face/","😬","Grimacing Face","A yellow face with simple open eyes showing clenched teeth. May represent a range of negative or tense emotions, especially nervousness, embarrassment, or awkwardness (e.g., Eek!).
Resembled 😁 Beaming Face With Smiling Eyes on Apple iOS prior to 2017. Apple’s design for 🥶 Cold Face features the same mouth. Samsung's design previously featured more puckered-looking lips. 
On Snapchat, this emoji next to a contact denotes that you send the most snaps to the same person that they do., i.e., you share a #1 Best Friend.


Grimacing Face was approved as part of Unicode 6.1 in 2012
and added to Emoji 1.0 in 2015.


🚩 Appearance differs greatly cross-platform. Use with caution."
"1573459094-10285","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻
Animals & Nature","Emojis for animals, nature, and weather.","🦑 Squid","https://emojipedia.org/squid/","🦑","Squid","A squid, an octopus-like sea animal with ten arms. Generally depicted as a pinkish-orange giant squid, facing forward or angled to the left, with a slender, arrow-like body, small eyes, and two, long arms raised up at its sides. Platforms generally depict six arms.
Occasionally used to represent squid as a food item. Not to be confused with 🐙 Octopus, though their applications may overlap.
Microsoft, WhatsApp, and Twitter’s squids are facing forward. Samsung’s squid was previously gray.

Squid was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016.
"
"1573459874-10663","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🙌 Raising Hands","https://emojipedia.org/person-raising-both-hands-in-celebration/","🙌","Raising Hands","Two hands raised in the air, celebrating success or another joyous event.

Raising Hands was approved as part of Unicode 6.0 in 2010
under the name “Person Raising Both Hands in Celebration”
and added to Emoji 1.0 in 2015."
"1573458958-10220","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔
Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🥥 Coconut","https://emojipedia.org/coconut/","🥥","Coconut","The hairy shell of a tropical coconut, cracked in a half to show its milky-white meat. Google displays a whole coconut alongside a half-shell. 

Coconut was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017."
